post_id,meta_key,meta_value
60669,_ywgc_amount_total,100
60678,_ywgc_amount_total,100
60689,_ywgc_amount_total,100
60690,_ywgc_amount_total,100
60687,_ywgc_amount_total,100
60688,_ywgc_amount_total,100
60695,_ywgc_amount_total,100
60698,_ywgc_amount_total,100
60701,_ywgc_amount_total,100
60705,_ywgc_amount_total,100
60706,_ywgc_amount_total,100
60707,_ywgc_amount_total,100
60710,_ywgc_amount_total,100
60713,_ywgc_amount_total,100
60715,_ywgc_amount_total,100
60716,_ywgc_amount_total,100
60720,_ywgc_amount_total,100
60723,_ywgc_amount_total,100
60724,_ywgc_amount_total,100
60725,_ywgc_amount_total,100
60727,_ywgc_amount_total,100
60728,_ywgc_amount_total,100
60729,_ywgc_amount_total,100
60730,_ywgc_amount_total,100
60731,_ywgc_amount_total,100
60737,_ywgc_amount_total,100
60748,_ywgc_amount_total,100
60749,_ywgc_amount_total,100
60745,_ywgc_amount_total,100
60746,_ywgc_amount_total,100
60753,_ywgc_amount_total,100
60754,_ywgc_amount_total,100
60755,_ywgc_amount_total,100
60756,_ywgc_amount_total,100
60750,_ywgc_amount_total,100
60751,_ywgc_amount_total,100
60752,_ywgc_amount_total,100
60758,_ywgc_amount_total,100
60760,_ywgc_amount_total,100
60761,_ywgc_amount_total,100
60766,_ywgc_amount_total,100
60767,_ywgc_amount_total,100
60768,_ywgc_amount_total,100
60770,_ywgc_amount_total,100
60772,_ywgc_amount_total,100
60774,_ywgc_amount_total,100
60771,_ywgc_amount_total,100
60777,_ywgc_amount_total,100
60778,_ywgc_amount_total,100
60780,_ywgc_amount_total,100
60781,_ywgc_amount_total,100
60805,_ywgc_amount_total,100
60806,_ywgc_amount_total,100
60807,_ywgc_amount_total,100
60808,_ywgc_amount_total,100
60814,_ywgc_amount_total,100
60815,_ywgc_amount_total,100
60817,_ywgc_amount_total,100
60819,_ywgc_amount_total,100
60821,_ywgc_amount_total,100
60822,_ywgc_amount_total,100
60816,_ywgc_amount_total,100
60823,_ywgc_amount_total,100
60825,_ywgc_amount_total,100
60826,_ywgc_amount_total,100
60828,_ywgc_amount_total,100
60829,_ywgc_amount_total,100
60832,_ywgc_amount_total,100
60833,_ywgc_amount_total,100
60838,_ywgc_amount_total,100
60845,_ywgc_amount_total,100
60839,_ywgc_amount_total,100
60840,_ywgc_amount_total,100
60841,_ywgc_amount_total,100
60842,_ywgc_amount_total,100
60847,_ywgc_amount_total,100
60850,_ywgc_amount_total,100
60858,_ywgc_amount_total,100
60859,_ywgc_amount_total,100
60860,_ywgc_amount_total,100
60861,_ywgc_amount_total,100
60862,_ywgc_amount_total,100
60869,_ywgc_amount_total,100
60863,_ywgc_amount_total,100
60870,_ywgc_amount_total,100
60864,_ywgc_amount_total,100
60865,_ywgc_amount_total,100
60867,_ywgc_amount_total,100
60875,_ywgc_amount_total,100
60872,_ywgc_amount_total,100
60873,_ywgc_amount_total,100
60874,_ywgc_amount_total,100
60877,_ywgc_amount_total,100
60878,_ywgc_amount_total,100
60879,_ywgc_amount_total,100
60881,_ywgc_amount_total,100
60883,_ywgc_amount_total,100
60884,_ywgc_amount_total,100
60885,_ywgc_amount_total,100
60887,_ywgc_amount_total,100
60895,_ywgc_amount_total,100
60896,_ywgc_amount_total,100
60900,_ywgc_amount_total,100
60901,_ywgc_amount_total,100
60897,_ywgc_amount_total,100
60898,_ywgc_amount_total,100
60899,_ywgc_amount_total,100
60922,_ywgc_amount_total,100
60923,_ywgc_amount_total,100
60924,_ywgc_amount_total,100
60925,_ywgc_amount_total,100
60935,_ywgc_amount_total,100
60937,_ywgc_amount_total,100
60946,_ywgc_amount_total,100
60940,_ywgc_amount_total,100
60947,_ywgc_amount_total,100
60948,_ywgc_amount_total,100
60949,_ywgc_amount_total,100
60950,_ywgc_amount_total,100
60951,_ywgc_amount_total,100
60952,_ywgc_amount_total,100
60953,_ywgc_amount_total,100
60954,_ywgc_amount_total,100
60955,_ywgc_amount_total,100
60956,_ywgc_amount_total,100
60963,_ywgc_amount_total,100
61028,_ywgc_amount_total,100
60990,_ywgc_amount_total,100
61022,_ywgc_amount_total,100
61035,_ywgc_amount_total,100
61010,_ywgc_amount_total,100
60991,_ywgc_amount_total,100
61004,_ywgc_amount_total,100
61043,_ywgc_amount_total,100
60992,_ywgc_amount_total,100
61024,_ywgc_amount_total,100
61031,_ywgc_amount_total,100
60999,_ywgc_amount_total,100
61038,_ywgc_amount_total,100
