post_id,meta_key,meta_value
77226,_ywgc_amount_total,150
77227,_ywgc_amount_total,225
77228,_ywgc_amount_total,200
77229,_ywgc_amount_total,300
77230,_ywgc_amount_total,100
77231,_ywgc_amount_total,200
77232,_ywgc_amount_total,100
77233,_ywgc_amount_total,100
77234,_ywgc_amount_total,200
77235,_ywgc_amount_total,300
77236,_ywgc_amount_total,150
77237,_ywgc_amount_total,200
77238,_ywgc_amount_total,100
77239,_ywgc_amount_total,175
77240,_ywgc_amount_total,150
77241,_ywgc_amount_total,250
77242,_ywgc_amount_total,100
77243,_ywgc_amount_total,200
77244,_ywgc_amount_total,200
77245,_ywgc_amount_total,300
77246,_ywgc_amount_total,50
77247,_ywgc_amount_total,50
77248,_ywgc_amount_total,200
77249,_ywgc_amount_total,100
77250,_ywgc_amount_total,150
77251,_ywgc_amount_total,200
77252,_ywgc_amount_total,300
77253,_ywgc_amount_total,200
77254,_ywgc_amount_total,200
77255,_ywgc_amount_total,100
77256,_ywgc_amount_total,100
77257,_ywgc_amount_total,100
77258,_ywgc_amount_total,100
77259,_ywgc_amount_total,100
77260,_ywgc_amount_total,100
77261,_ywgc_amount_total,200
77262,_ywgc_amount_total,400
77263,_ywgc_amount_total,75
77264,_ywgc_amount_total,60
77265,_ywgc_amount_total,400
77266,_ywgc_amount_total,250
77267,_ywgc_amount_total,200
77268,_ywgc_amount_total,100
77269,_ywgc_amount_total,100
77270,_ywgc_amount_total,250
77271,_ywgc_amount_total,250
77272,_ywgc_amount_total,300
77273,_ywgc_amount_total,200
77274,_ywgc_amount_total,350
77275,_ywgc_amount_total,250
77276,_ywgc_amount_total,200
77277,_ywgc_amount_total,700
77278,_ywgc_amount_total,200
77279,_ywgc_amount_total,175
77280,_ywgc_amount_total,100
77282,_ywgc_amount_total,150
77283,_ywgc_amount_total,500
77284,_ywgc_amount_total,100
77285,_ywgc_amount_total,100
77286,_ywgc_amount_total,125
77287,_ywgc_amount_total,200
77288,_ywgc_amount_total,100
77289,_ywgc_amount_total,150
77290,_ywgc_amount_total,100
77291,_ywgc_amount_total,200
77292,_ywgc_amount_total,200
77293,_ywgc_amount_total,75
77294,_ywgc_amount_total,100
77295,_ywgc_amount_total,50
77297,_ywgc_amount_total,150
77298,_ywgc_amount_total,275
77300,_ywgc_amount_total,600
77301,_ywgc_amount_total,300
77302,_ywgc_amount_total,200
77303,_ywgc_amount_total,100
77304,_ywgc_amount_total,400
77305,_ywgc_amount_total,250
77307,_ywgc_amount_total,120
77308,_ywgc_amount_total,100
77309,_ywgc_amount_total,100
77310,_ywgc_amount_total,150
77311,_ywgc_amount_total,100
77312,_ywgc_amount_total,150
77313,_ywgc_amount_total,150
77314,_ywgc_amount_total,200
77315,_ywgc_amount_total,100
77316,_ywgc_amount_total,350
77317,_ywgc_amount_total,150
77318,_ywgc_amount_total,250
77319,_ywgc_amount_total,100
77320,_ywgc_amount_total,125
77321,_ywgc_amount_total,200
77322,_ywgc_amount_total,200
77323,_ywgc_amount_total,150
77324,_ywgc_amount_total,100
77325,_ywgc_amount_total,400
77326,_ywgc_amount_total,200
77327,_ywgc_amount_total,150
77328,_ywgc_amount_total,100
77329,_ywgc_amount_total,100
77330,_ywgc_amount_total,100
77331,_ywgc_amount_total,150
77332,_ywgc_amount_total,150
77334,_ywgc_amount_total,100
77335,_ywgc_amount_total,75
77336,_ywgc_amount_total,150
77337,_ywgc_amount_total,100
77338,_ywgc_amount_total,200
77339,_ywgc_amount_total,200
77340,_ywgc_amount_total,200
77341,_ywgc_amount_total,200
77342,_ywgc_amount_total,200
77343,_ywgc_amount_total,100
77344,_ywgc_amount_total,300
77345,_ywgc_amount_total,50
77346,_ywgc_amount_total,300
77347,_ywgc_amount_total,50
77348,_ywgc_amount_total,100
77349,_ywgc_amount_total,200
77350,_ywgc_amount_total,100
77351,_ywgc_amount_total,100
77352,_ywgc_amount_total,100
77353,_ywgc_amount_total,200
77354,_ywgc_amount_total,200
77355,_ywgc_amount_total,100
77356,_ywgc_amount_total,150
77357,_ywgc_amount_total,450
77358,_ywgc_amount_total,100
77359,_ywgc_amount_total,300
77360,_ywgc_amount_total,400
77361,_ywgc_amount_total,125
77362,_ywgc_amount_total,300
77363,_ywgc_amount_total,500
77364,_ywgc_amount_total,500
77365,_ywgc_amount_total,100
77366,_ywgc_amount_total,250
77367,_ywgc_amount_total,150
77368,_ywgc_amount_total,200
77369,_ywgc_amount_total,150
77370,_ywgc_amount_total,120
77371,_ywgc_amount_total,100
77372,_ywgc_amount_total,150
77373,_ywgc_amount_total,250
77374,_ywgc_amount_total,100
77375,_ywgc_amount_total,200
77377,_ywgc_amount_total,100
77378,_ywgc_amount_total,100
77379,_ywgc_amount_total,200
77380,_ywgc_amount_total,100
77381,_ywgc_amount_total,150
77382,_ywgc_amount_total,100
77383,_ywgc_amount_total,100
77384,_ywgc_amount_total,125
77385,_ywgc_amount_total,250
77386,_ywgc_amount_total,400
77387,_ywgc_amount_total,100
77388,_ywgc_amount_total,100
77389,_ywgc_amount_total,100
77390,_ywgc_amount_total,250
77391,_ywgc_amount_total,160
77392,_ywgc_amount_total,200
77393,_ywgc_amount_total,150
77394,_ywgc_amount_total,190
77395,_ywgc_amount_total,75
77396,_ywgc_amount_total,150
77397,_ywgc_amount_total,20
77398,_ywgc_amount_total,200
77399,_ywgc_amount_total,500
77400,_ywgc_amount_total,150
77401,_ywgc_amount_total,125
77402,_ywgc_amount_total,400
77403,_ywgc_amount_total,100
77404,_ywgc_amount_total,100
77406,_ywgc_amount_total,300
77407,_ywgc_amount_total,100
77410,_ywgc_amount_total,300
77411,_ywgc_amount_total,300
77412,_ywgc_amount_total,100
77413,_ywgc_amount_total,150
77414,_ywgc_amount_total,125
77415,_ywgc_amount_total,150
77416,_ywgc_amount_total,200
77419,_ywgc_amount_total,175
77420,_ywgc_amount_total,300
77421,_ywgc_amount_total,100
77422,_ywgc_amount_total,100
77423,_ywgc_amount_total,150
77424,_ywgc_amount_total,150
77425,_ywgc_amount_total,200
77426,_ywgc_amount_total,100
77427,_ywgc_amount_total,250
77428,_ywgc_amount_total,150
77429,_ywgc_amount_total,150
77430,_ywgc_amount_total,100
77431,_ywgc_amount_total,50
77432,_ywgc_amount_total,200
77433,_ywgc_amount_total,150
77434,_ywgc_amount_total,250
77435,_ywgc_amount_total,150
77436,_ywgc_amount_total,300
77437,_ywgc_amount_total,250
77438,_ywgc_amount_total,450
77439,_ywgc_amount_total,200
77440,_ywgc_amount_total,100
77441,_ywgc_amount_total,200
77442,_ywgc_amount_total,300
77445,_ywgc_amount_total,250
77446,_ywgc_amount_total,400
77447,_ywgc_amount_total,150
77448,_ywgc_amount_total,200
77449,_ywgc_amount_total,100
77450,_ywgc_amount_total,100
77451,_ywgc_amount_total,100
77452,_ywgc_amount_total,150
77453,_ywgc_amount_total,100
77454,_ywgc_amount_total,300
77455,_ywgc_amount_total,250
77456,_ywgc_amount_total,200
77457,_ywgc_amount_total,250
77458,_ywgc_amount_total,100
77459,_ywgc_amount_total,200
77460,_ywgc_amount_total,200
77461,_ywgc_amount_total,250
77462,_ywgc_amount_total,150
77463,_ywgc_amount_total,150
77464,_ywgc_amount_total,245
77465,_ywgc_amount_total,200
77466,_ywgc_amount_total,150
77467,_ywgc_amount_total,300
77468,_ywgc_amount_total,250
77469,_ywgc_amount_total,100
77470,_ywgc_amount_total,50
77471,_ywgc_amount_total,300
77472,_ywgc_amount_total,250
77473,_ywgc_amount_total,250
77474,_ywgc_amount_total,200
77475,_ywgc_amount_total,100
77476,_ywgc_amount_total,150
77477,_ywgc_amount_total,100
77478,_ywgc_amount_total,300
77479,_ywgc_amount_total,300
77480,_ywgc_amount_total,200
77481,_ywgc_amount_total,100
77482,_ywgc_amount_total,150
77483,_ywgc_amount_total,100
77484,_ywgc_amount_total,125
77485,_ywgc_amount_total,150
77486,_ywgc_amount_total,100
77487,_ywgc_amount_total,350
77488,_ywgc_amount_total,150
77489,_ywgc_amount_total,150
77490,_ywgc_amount_total,175
77491,_ywgc_amount_total,150
77492,_ywgc_amount_total,150
77493,_ywgc_amount_total,150
77494,_ywgc_amount_total,500
77495,_ywgc_amount_total,100
77497,_ywgc_amount_total,222
77498,_ywgc_amount_total,900
77499,_ywgc_amount_total,150
77500,_ywgc_amount_total,100
77501,_ywgc_amount_total,150
77502,_ywgc_amount_total,300
77503,_ywgc_amount_total,150
77504,_ywgc_amount_total,100
77505,_ywgc_amount_total,100
77506,_ywgc_amount_total,100
77507,_ywgc_amount_total,100
77508,_ywgc_amount_total,200
77509,_ywgc_amount_total,300
77510,_ywgc_amount_total,100
77511,_ywgc_amount_total,300
77512,_ywgc_amount_total,100
77513,_ywgc_amount_total,100
77514,_ywgc_amount_total,100
77515,_ywgc_amount_total,150
77516,_ywgc_amount_total,150
77517,_ywgc_amount_total,200
77518,_ywgc_amount_total,100
77519,_ywgc_amount_total,350
77520,_ywgc_amount_total,600
77521,_ywgc_amount_total,200
77522,_ywgc_amount_total,150
77523,_ywgc_amount_total,250
77524,_ywgc_amount_total,150
77525,_ywgc_amount_total,100
77526,_ywgc_amount_total,50
77527,_ywgc_amount_total,500
77528,_ywgc_amount_total,250
77529,_ywgc_amount_total,400
77530,_ywgc_amount_total,200
77531,_ywgc_amount_total,300
77532,_ywgc_amount_total,250
77533,_ywgc_amount_total,100
77534,_ywgc_amount_total,100
77535,_ywgc_amount_total,120
77536,_ywgc_amount_total,200
77537,_ywgc_amount_total,200
77538,_ywgc_amount_total,200
77539,_ywgc_amount_total,150
77540,_ywgc_amount_total,150
77541,_ywgc_amount_total,150
77542,_ywgc_amount_total,150
77543,_ywgc_amount_total,150
77544,_ywgc_amount_total,125
77545,_ywgc_amount_total,150
77546,_ywgc_amount_total,100
77547,_ywgc_amount_total,220
77548,_ywgc_amount_total,200
77549,_ywgc_amount_total,250
77550,_ywgc_amount_total,50
77551,_ywgc_amount_total,100
77552,_ywgc_amount_total,200
77553,_ywgc_amount_total,200
77554,_ywgc_amount_total,200
77555,_ywgc_amount_total,200
77556,_ywgc_amount_total,250
77557,_ywgc_amount_total,125
77558,_ywgc_amount_total,100
77559,_ywgc_amount_total,165
77560,_ywgc_amount_total,50
77561,_ywgc_amount_total,40
77562,_ywgc_amount_total,150
77563,_ywgc_amount_total,250
77564,_ywgc_amount_total,350
77565,_ywgc_amount_total,200
77566,_ywgc_amount_total,150
77567,_ywgc_amount_total,200
77568,_ywgc_amount_total,300
77569,_ywgc_amount_total,400
77570,_ywgc_amount_total,120
77571,_ywgc_amount_total,40
77572,_ywgc_amount_total,150
77573,_ywgc_amount_total,100
77574,_ywgc_amount_total,150
77575,_ywgc_amount_total,150
77576,_ywgc_amount_total,200
77577,_ywgc_amount_total,100
77578,_ywgc_amount_total,100
77579,_ywgc_amount_total,300
77580,_ywgc_amount_total,150
77581,_ywgc_amount_total,150
