post_id,meta_key,meta_value
18640,_ywgc_amount_total,200
18729,_ywgc_amount_total,375
18754,_ywgc_amount_total,150
18755,_ywgc_amount_total,150
18757,_ywgc_amount_total,200
18762,_ywgc_amount_total,150
18764,_ywgc_amount_total,175
18767,_ywgc_amount_total,200
18769,_ywgc_amount_total,200
18771,_ywgc_amount_total,500
18773,_ywgc_amount_total,300
18778,_ywgc_amount_total,300
18780,_ywgc_amount_total,300
18781,_ywgc_amount_total,300
18852,_ywgc_amount_total,100
18854,_ywgc_amount_total,1000
18858,_ywgc_amount_total,600
18860,_ywgc_amount_total,300
18862,_ywgc_amount_total,300
18864,_ywgc_amount_total,150
18867,_ywgc_amount_total,200
18879,_ywgc_amount_total,250
18952,_ywgc_amount_total,500
18955,_ywgc_amount_total,400
18960,_ywgc_amount_total,250
18962,_ywgc_amount_total,200
18963,_ywgc_amount_total,200
18964,_ywgc_amount_total,200
18966,_ywgc_amount_total,200
18968,_ywgc_amount_total,250
18970,_ywgc_amount_total,150
18973,_ywgc_amount_total,150
18982,_ywgc_amount_total,50
19086,_ywgc_amount_total,200
19088,_ywgc_amount_total,40
19090,_ywgc_amount_total,500
19092,_ywgc_amount_total,200
19100,_ywgc_amount_total,460
19107,_ywgc_amount_total,200
19113,_ywgc_amount_total,400
19114,_ywgc_amount_total,200
19116,_ywgc_amount_total,300
19118,_ywgc_amount_total,600
47352,_ywgc_amount_total,100
47354,_ywgc_amount_total,100
47360,_ywgc_amount_total,500
47386,_ywgc_amount_total,200
47389,_ywgc_amount_total,300
47393,_ywgc_amount_total,500
47395,_ywgc_amount_total,350
47397,_ywgc_amount_total,200
47401,_ywgc_amount_total,900
47410,_ywgc_amount_total,610
47771,_ywgc_amount_total,400
47928,_ywgc_amount_total,200
48026,_ywgc_amount_total,325
48028,_ywgc_amount_total,100
48064,_ywgc_amount_total,150
48066,_ywgc_amount_total,200
48071,_ywgc_amount_total,400
48129,_ywgc_amount_total,200
48140,_ywgc_amount_total,750
48141,_ywgc_amount_total,750
48142,_ywgc_amount_total,750
48143,_ywgc_amount_total,750
48144,_ywgc_amount_total,750
48145,_ywgc_amount_total,750
48146,_ywgc_amount_total,750
48147,_ywgc_amount_total,750
48148,_ywgc_amount_total,750
48149,_ywgc_amount_total,750
48150,_ywgc_amount_total,750
48151,_ywgc_amount_total,750
